decibelMedia,decibelDesvioPadrao,decibelMediana,pitchMedia,pitchDesvioPadrao,pitchMediana,Classe
35.289751,10.8854395,39.44287517,113.5478864,0,113.5478864,Horota
33.70173107,10.88749683,36.2668353,113.5478864,0,113.5478864,Horota
35.95032548,7.239852188,36.2668353,85.16091483,56.77394322,113.5478864,Horota
33.84702437,7.837791305,31.30912335,75.69859096,65.5569028,113.5478864,Horota
25.90167995,15.18324937,28.29597368,37.84929548,65.5569028,0,Horota
24.95902984,13.95515915,28.29597368,0,0,0,Horota
28.59357893,17.84644275,28.29597368,0,0,0,Horota
32.13279543,19.45488531,38.25840707,0,0,0,Horota
33.8075393,22.04446195,42.12523161,48.8663737,69.10748843,48.8663737,Horota
44.14949551,4.76733388,44.42885308,97.7327474,0,97.7327474,Horota
46.11319166,3.309772375,45.99205615,97.7327474,0,97.7327474,Horota
41.02381691,6.101345566,42.86565001,97.7327474,0,97.7327474,Horota
34.30351144,8.517609909,34.21374458,97.7327474,0,97.7327474,Horota
24.54147475,20.72573024,30.02244216,65.15516493,56.42602802,97.7327474,Horota
22.19322362,18.35393655,29.65189261,65.15516493,56.42602802,97.7327474,Horota
28.12577019,20.70327956,33.47264548,48.8663737,69.10748843,48.8663737,Horota
31.81313203,23.51021867,33.47264548,0,0,0,Horota
33.3086301,26.87124385,42.66430099,102.331543,144.7186559,102.331543,Horota
45.99305191,10.85026631,51.85595649,204.6630859,0,204.6630859,Horota
49.33117142,5.076767254,51.85595649,204.6630859,0,204.6630859,Horota
46.48654087,5.338828749,43.48700401,204.6630859,0,204.6630859,Horota
43.40453443,0.116629605,43.40453443,205.5029297,1.877947715,204.6630859,Horota
40.08727852,5.746247606,43.32206484,206.3427734,2.300006833,204.6630859,Horota
42.24835935,6.379184053,43.40453443,207.1826172,2.300006833,208.8623047,Horota
41.8354778,7.747138615,43.32206484,209.3164063,3.822949083,208.8623047,Horota
45.49821874,10.79815355,48.73160185,211.4501953,3.543615179,208.8623047,Horota
45.6242216,8.820256246,47.36691601,212.7441406,3.543615179,215.3320313,Horota
45.42338067,9.191137324,47.36691601,213.7145996,3.234863281,215.3320313,Horota
38.04288087,15.40304881,39.32581658,215.3320313,0,215.3320313,Horota
