decibelMedia,decibelDesvioPadrao,decibelMediana,pitchMedia,pitchDesvioPadrao,pitchMediana
6.871276175,29.30922338,10.53625076,399.2236328,0,399.2236328
6.871276175,29.30922338,10.53625076,266.1490885,230.4918719,399.2236328
9.27084798,32.68090226,10.53625076,199.6118164,282.293738,199.6118164
23.97447883,37.96457731,34.93564249,0,0,0
41.80699847,15.93647249,45.53397049,31.20492118,44.13042274,31.20492118
53.68551063,7.397752898,55.54971043,41.60656157,36.03233928,62.40984235
54.70338662,6.374071289,56.65336252,62.40984235,0,62.40984235
55.95648839,4.033519164,56.65336252,62.40984235,0,62.40984235
53.96490334,5.856216802,54.15169608,62.40984235,0,62.40984235
53.78159868,5.088168571,53.04838005,62.40984235,0,62.40984235
52.23378561,4.306713043,51.7973788,122.760097,85.34814855,122.760097
50.70347106,2.318581579,51.09106698,183.1103516,0,183.1103516
47.83677262,6.280809371,49.60956332,183.1103516,0,183.1103516
47.92124008,7.689606038,51.63575641,183.1103516,0,183.1103516
42.0095039,8.546637833,39.07958377,183.1103516,0,183.1103516
44.44982996,8.515717458,45.35767009,183.1103516,0,183.1103516
42.05452114,8.622710698,39.07958377,225.3564453,59.74499874,225.3564453
48.18282294,11.50327982,51.77080812,239.4384766,48.7815872,267.6025391
50.82076109,10.77273573,54.61764865,267.6025391,0,267.6025391
55.9899576,3.708665071,57.46448918,249.5243617,36.15635463,267.6025391
58.24821518,0.685273356,58.54558084,238.6774554,39.60730206,267.6025391
58.15263651,0.591276166,58.20574068,224.2149135,39.60730206,195.2898298
56.72733531,3.330323439,58.20574068,209.7523717,32.33922671,195.2898298
56.05825524,3.735046518,57.86590052,195.3261335,0.081177565,195.2898298
54.07351058,5.005719439,54.81459244,195.3624372,0.099421807,195.2898298
53.50792519,4.426270908,54.02326181,195.3987409,0.099421807,195.4713484
52.05526674,4.089805847,51.76328436,198.0187535,5.798175775,195.4713484
52.53052665,4.121628954,53.18906407,198.7009844,6.459272112,195.4713484
52.53052665,4.121628954,53.18906407,201.9306205,7.458524985,201.9306205
52.80794709,3.680679104,53.18906407,205.1602565,6.459272112,208.3898926
51.07030101,2.99638346,51.07030101,205.3079088,6.163967556,208.3898926
49.9677694,2.85234724,48.95153795,202.225925,7.117536656,202.225925
46.72079928,2.895856865,47.76270618,200.9931315,6.752288149,196.0619575
44.52673341,4.984612141,45.60542995,198.5275445,5.513220187,196.0619575
43.05179856,4.921071071,43.44815372,194.5322849,3.420451873,196.0619575
41.3559939,5.258102391,40.69634475,193.0026123,4.189180889,196.0619575
41.88773951,6.153315957,40.69634475,191.4729397,4.189180889,188.4135946
41.36760144,7.427764417,37.94453579,203.9536286,30.65244632,188.4135946
46.75707029,9.325518253,49.8896886,216.4343175,38.36895501,188.4135946
